Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
817954.3,2189435.1,,32.5,1.512,
817925.1,2189434.5,,33.2,1.521,
908640.2,2192340.9,,740.9,2.87,
905444.1,2193099.3,,185.9,2.269,
818583.9,2191693.3,,43.4,1.637,
818758.6,2191696.4,,301.2,2.479,
819107,2191764.3,,187.8,2.274,
819542.8,2191833.7,,105.9,2.025,
815677.9,2191271.9,,1438.6,3.158,
816139.5,2191526.4,,387.8,2.589,
815908.7,2191399.2,,222,2.346,
813865.6,2191609.1,,252.4,2.402,
831711.6,2193935.1,,8.6,0.933,
819890.1,2191963.1,,97.8,1.99,
820325.8,2192032.5,,431.6,2.635,
817375.4,2192471.9,,26.2,1.418,
814850.5,2193565.6,,2980.5,3.474,
909483.8,2196211.5,,294.6,2.469,
831285.4,2194912.2,,31.1,1.493,
825511.3,2195236,,1084.2,3.035,
815138.5,2193755.4,,1581.8,3.199,
814835.2,2194427.2,,577.7,2.762,
909343.6,2198488.1,,28.5,1.454,
909541.9,2198739.1,,17.8,1.25,
910149.5,2198938.1,,211.7,2.326,
910177.2,2199000.4,,559.4,2.748,
910205.6,2199031.8,,288.5,2.46,
908831.2,2197952.5,,26.2,1.419,
906368.2,2201099.5,,197.8,2.296,
905838.3,2203859.8,,19.3,1.285,
906374,2203379.3,,8.8,0.942,
906248.2,2203776.9,,5.2,0.715,
836634.1,2201662.6,,115.7,2.063,
827159.4,2202192.3,,1527.5,3.184,
838943.8,2205739.8,,169.5,2.229,
838256,2206680.9,,41.9,1.622,
838484.7,2206900.8,,142.9,2.155,
835259.9,2206531.2,,1348.8,3.13,
828558.7,2205235.1,,2141,3.331,
826549.8,2205228.5,,801,2.904,
826088.7,2206543.6,,2903.6,3.463,
833962.9,2207368.6,,258.5,2.412,
830467.7,2207456.5,,64.2,1.807,
830809.4,2207863.1,,2672.5,3.427,
829921.1,2207107.6,,669.5,2.826,
828772.9,2207794.1,,776.6,2.89,
828421.3,2207910.7,,2541.5,3.405,
838955.7,2209649.9,,1085.7,3.036,
838987.2,2209527.3,,722.1,2.859,
838923.1,2209834,,908.6,2.958,
838000.2,2210893.7,,146.1,2.165,
832277.3,2210292,,855.3,2.932,
831417.1,2209598.5,,849.1,2.929,
893876.7,2213568.2,,80.7,1.907,
837951.5,2211908.7,,206.2,2.314,
837914.7,2212308.2,,118.9,2.075,
837942.7,2212370.3,,236.5,2.374,
832577.5,2211344.3,,320.7,2.506,
832667.1,2211222.9,,448.8,2.652,
831061.6,2211469.6,,583.8,2.766,
837834.6,2213445.8,,518.4,2.715,
837611.3,2212948.9,,79.8,1.902,
837395.8,2213560.5,,250.8,2.399,
837297.9,2214112.7,,128.8,2.11,
833489.1,2213916.7,,221.7,2.346,
888851,2216936.7,,365.7,2.563,
838536.9,2216260.9,,127.5,2.106,
835667.1,2215682.3,,370.1,2.568,
835561.4,2215126.1,,108.2,2.034,
835607.7,2215742.7,,617.8,2.791,
835632.1,2215989.4,,386.1,2.587,
833574.4,2215549.9,,72.6,1.861,
832832.7,2214766.2,,869.7,2.939,
833363.4,2214406.9,,149.3,2.174,
836539.9,2217207.5,,45.7,1.66,
834858.7,2216867.4,,1364.2,3.135,
834888.4,2216837.2,,499.8,2.699,
878365.8,2219817.6,,42.7,1.63,
831970.8,2218782.6,,313.3,2.496,
830335.8,2222168.7,,583.8,2.766,
869384.8,2224706.8,,166.4,2.221,
869478.9,2225755.8,,589.9,2.771,
869566.2,2225757.7,,676.3,2.83,
832445.9,2224394.5,,72.8,1.862,
832444.7,2224456,,149.3,2.174,
833038,2223851.6,,62.7,1.797,
833006.3,2225513.4,,150.7,2.178,
832792.2,2226063.5,,48.7,1.687,
858236.3,2227799.9,,411.7,2.615,
826194.3,2228986.3,,103.1,2.013,
826035.1,2229722.1,,168.9,2.228,
825267.4,2230354.1,,874.6,2.942,
825484.1,2229650.2,,1266.9,3.103,
825050.2,2231088.9,,3343.6,3.524,
839295.4,2238565,,88,1.944,
839323.2,2238627.1,,230.9,2.363,
836274.3,2239983.9,,46.7,1.669,
835758.6,2239604.5,,309.8,2.491,
831504.7,2241708.2,,319,2.504,
827124.9,2238238.7,,252.6,2.403,
826862.3,2239834.4,,642.3,2.808,
834016.8,2241017.7,,418.3,2.621,
834545,2240750.8,,219,2.34,
831721.6,2241004.3,,1564,3.194,
829240.4,2241603.3,,1262.2,3.101,
