id,Easting,Northing,Type,Diameter,Length,Width,Depth_W,Water_table,Time,Depth_L,Radius,LdivR,Hydraulic_conductivity_m/s,lnKs,Normalized
179,13797,78797,1,1,0,0,6.5,3.57,8726,2.93,0.5,5.86,0.025,-3.7,2.53
180,16145,76555,1,1,0,0,5.17,4.39,1511,0.78,0.5,1.56,0.385,-0.96,5.26
181,15044,77393,1,1,0,0,6,4.12,1343,1.88,0.5,3.76,0.225,-1.49,4.72
182,14816,77314,1,1,0,0,6.05,3.42,453,2.63,0.5,5.26,0.516,-0.66,5.55
183,13930,81287,1,1,0,0,6.83,4.77,2171,2.06,0.5,4.12,0.13,-2.04,4.17
184,13547,83511,1,1,0,0,7.67,3.1,13260,4.57,0.5,9.14,0.011,-4.47,1.7
185,14057,82841,1,3.8,0,0,1.44,0.65,2619,0.79,1.9,0.42,2.149,0.77,6.98
186,14088,81618,1,1,0,0,6.42,5.3,2265,1.12,0.5,2.24,0.197,-1.63,4.59
187,14257,81654,1,1,0,0,7.97,5.88,3569,2.09,0.5,4.18,0.078,-2.55,3.66
188,14071,73904,2,0,1.4,2,0.9,0.08,1129,0.82,0.28,2.89,0.185,-1.69,4.53
189,14823,88602,1,1.07,0,0,9.77,8.5,1090,1.27,0.54,2.37,0.419,-0.87,5.34
190,13021,83726,1,1,0,0,5.88,4.79,2578,1.09,0.5,2.18,0.176,-1.73,4.48
191,12880,83722,1,1,0,0,6.57,3.87,1425,2.7,0.5,5.4,0.161,-1.83,4.39
192,12043,85601,1,1,0,0,4.88,4.04,360,0.84,0.5,1.68,1.53,0.43,6.64
193,12384,85069,1,1,0,0,10.44,8.36,510,2.08,0.5,4.16,0.549,-0.6,5.61
194,12409,85065,1,1,0,0,9.58,8.42,205,1.16,0.5,2.32,2.119,0.75,6.97
195,10765,78670,1,1,0,0,8.04,5.8,968,2.24,0.5,4.48,0.273,-1.3,4.92
196,11043,78148,1,1.25,0,0,4.1,3.55,9944,0.55,0.63,0.88,0.11,-2.21,4.01
197,11411,76059,1,1,0,0,4,3.4,554,0.6,0.5,1.2,1.268,0.24,6.45
198,10739,78693,2,0,0.85,0.85,9.02,6.04,985,2.98,0.07,40.71,0.007,-5.03,1.25
199,9219,72473,1,3,0,0,1.56,0.93,5522,0.63,1.5,0.42,0.799,-0.22,5.99
200,9086,72487,1,2.4,0,0,1.3,0.53,2975,0.77,1.2,0.64,0.884,-0.12,6.09
201,9815,75749,1,1.2,0,0,4.9,2.08,7364,2.82,0.6,4.7,0.042,-3.18,3.04
202,9628,74103,1,1.12,0,0,1.86,0.45,335,1.41,0.56,2.52,1.367,0.31,6.53
203,9583,75137,2,0,2.07,2.13,1.53,0.57,371,0.96,0.45,2.15,1.107,0.1,6.32
204,10479,76037,2,0,1,1.36,5.5,3.5,1860,2,0.14,14.51,0.015,-4.17,2.01
205,9802,75789,2,0,0.76,0.89,5.57,3.9,4646,1.67,0.07,24.37,0.002,-6.21,0
206,10501,76720,1,1.1,0,0,4.03,1.92,9657,2.11,0.55,3.84,0.034,-3.38,2.83
207,10405,76663,1,1,0,0,7.65,5.08,4455,2.57,0.5,5.14,0.053,-2.93,3.28
208,10485,76736,1,1.2,0,0,5.28,1.98,3378,3.3,0.6,5.5,0.08,-2.52,3.69
209,10094,76896,1,1.2,0,0,7.5,5.87,14468,1.63,0.6,2.72,0.032,-3.44,2.77
210,9693,77231,1,1.3,0,0,6.66,5.4,14340,1.26,0.65,1.94,0.045,-3.1,3.11
211,20551,85442,1,1,0,0,8,7.66,225,0.34,0.5,0.68,4.674,1.54,7.76
212,20635,85500,1,1,0,0,10.43,9.03,14,1.4,0.5,2.8,26.984,3.3,9.51
213,19701,85630,1,1,0,0,7,5,1473,2,0.5,4,0.196,-1.63,4.58
214,21290,85345,1,1,0,0,11.76,8.8,465,2.96,0.5,5.92,0.459,-0.78,5.44
215,20616,85066,1,1,0,0,9.7,7.47,927,2.23,0.5,4.46,0.287,-1.25,4.97
216,20570,85419,1,1,0,0,8.83,7.18,87,1.65,0.5,3.3,3.838,1.35,7.56
217,20883,85301,1,1,0,0,7,4.72,111,2.28,0.5,4.56,2.353,0.86,7.07
218,19931,87767,1,1,0,0,9.53,8.34,80,1.19,0.5,2.38,5.329,1.67,7.89
