,site_id,X_m,Y_m,Z_m,East_UTM_km,North_UTM_km,K_m/d,log_K_m/d,measurement_method,data_source,ISO 3166
0,Borden_aquifer,0,0,0.0,,,0.00018697435,-8.584539116293174,nan,10.1016/0022-1694(95)02805-6,CAN
1,Borden_aquifer,0,0,0.05,,,0.000179454187,-8.625590608238285,nan,10.1016/0022-1694(95)02805-6,CAN
2,Borden_aquifer,0,0,0.1,,,0.000127081977,-8.970678191554603,nan,10.1016/0022-1694(95)02805-6,CAN
3,Borden_aquifer,0,0,0.15,,,0.000120764767,-9.021665978913035,nan,10.1016/0022-1694(95)02805-6,CAN
4,Borden_aquifer,0,0,0.2,,,0.00016992564600000002,-8.680149593061588,nan,10.1016/0022-1694(95)02805-6,CAN
5,Borden_aquifer,0,0,0.25,,,0.000163219411,-8.720415182556081,nan,10.1016/0022-1694(95)02805-6,CAN
6,Borden_aquifer,0,0,0.3,,,0.000246174333,-8.309470602288735,nan,10.1016/0022-1694(95)02805-6,CAN
7,Borden_aquifer,0,0,0.35,,,0.00019494008,-8.542818328672613,nan,10.1016/0022-1694(95)02805-6,CAN
8,Borden_aquifer,0,0,0.4,,,0.000153447533,-8.782151853925775,nan,10.1016/0022-1694(95)02805-6,CAN
9,Borden_aquifer,0,0,0.45,,,0.000145881086,-8.832718747576594,nan,10.1016/0022-1694(95)02805-6,CAN
10,Borden_aquifer,0,0,0.5,,,9.03073387e-05,-9.31229183063317,nan,10.1016/0022-1694(95)02805-6,CAN
11,Borden_aquifer,0,0,0.55,,,0.00011629199699999999,-9.059406314220993,nan,10.1016/0022-1694(95)02805-6,CAN
12,Borden_aquifer,0,0,0.6,,,0.000153612784,-8.78107551154739,nan,10.1016/0022-1694(95)02805-6,CAN
13,Borden_aquifer,0,0,0.65,,,6.621240700000001e-05,-9.62264269566324,nan,10.1016/0022-1694(95)02805-6,CAN
14,Borden_aquifer,0,0,0.7,,,5.69780357e-05,-9.77284470298821,nan,10.1016/0022-1694(95)02805-6,CAN
15,Borden_aquifer,0,0,0.75,,,7.80892875e-05,-9.457657674418906,nan,10.1016/0022-1694(95)02805-6,CAN
16,Borden_aquifer,0,0,0.8,,,6.73740281e-05,-9.605250954071069,nan,10.1016/0022-1694(95)02805-6,CAN
17,Borden_aquifer,0,0,0.85,,,0.00010626682500000001,-9.149557409755074,nan,10.1016/0022-1694(95)02805-6,CAN
18,Borden_aquifer,0,0,0.9,,,0.000100531926,-9.205035209270305,nan,10.1016/0022-1694(95)02805-6,CAN
19,Borden_aquifer,0,0,0.95,,,0.000150600768,-8.800878143009891,nan,10.1016/0022-1694(95)02805-6,CAN
20,Borden_aquifer,0,0,1.0,,,9.79673361e-05,-9.230876439954233,nan,10.1016/0022-1694(95)02805-6,CAN
21,Borden_aquifer,0,0,1.05,,,8.404739809999999e-05,-9.384129655162283,nan,10.1016/0022-1694(95)02805-6,CAN
22,Borden_aquifer,0,0,1.1,,,0.00012245316300000001,-9.007781943948302,nan,10.1016/0022-1694(95)02805-6,CAN
23,Borden_aquifer,0,0,1.15,,,0.00015473161200000001,-8.77381847736922,nan,10.1016/0022-1694(95)02805-6,CAN
24,Borden_aquifer,0,0,1.2,,,0.000146749426,-8.826784010677688,nan,10.1016/0022-1694(95)02805-6,CAN
25,Borden_aquifer,0,0,1.25,,,0.000128056387,-8.963039867609119,nan,10.1016/0022-1694(95)02805-6,CAN
26,Borden_aquifer,0,0,1.3,,,0.0001271629,-8.970041616267913,nan,10.1016/0022-1694(95)02805-6,CAN
27,Borden_aquifer,0,0,1.35,,,0.00011814969699999999,-9.043558118871251,nan,10.1016/0022-1694(95)02805-6,CAN
28,Borden_aquifer,0,0,1.4,,,0.000119264583,-9.034166146364376,nan,10.1016/0022-1694(95)02805-6,CAN
29,Borden_aquifer,0,0,1.45,,,0.000117440966,-9.04957476765506,nan,10.1016/0022-1694(95)02805-6,CAN
30,Borden_aquifer,0,0,1.5,,,0.00010290836300000001,-9.181671645346087,nan,10.1016/0022-1694(95)02805-6,CAN
31,Borden_aquifer,0,0,1.55,,,8.86909835e-05,-9.330352325450342,nan,10.1016/0022-1694(95)02805-6,CAN
32,Borden_aquifer,0,0,1.6,,,0.00010026943999999999,-9.20764959536475,nan,10.1016/0022-1694(95)02805-6,CAN
33,Borden_aquifer,0,0,1.65,,,8.84866266e-05,-9.332659129233345,nan,10.1016/0022-1694(95)02805-6,CAN
34,Borden_aquifer,0,0,1.7,,,9.79673361e-05,-9.230876439954233,nan,10.1016/0022-1694(95)02805-6,CAN
35,Borden_aquifer,0,0,1.75,,,6.58273333e-05,-9.628475406191521,nan,10.1016/0022-1694(95)02805-6,CAN
36,Borden_aquifer,1,0,0.0,,,0.00014061161700000001,-8.86950895753435,nan,10.1016/0022-1694(95)02805-6,CAN
37,Borden_aquifer,1,0,0.05,,,0.00019715612099999998,-8.531514650696781,nan,10.1016/0022-1694(95)02805-6,CAN
38,Borden_aquifer,1,0,0.1,,,0.000208510662,-8.475520381342207,nan,10.1016/0022-1694(95)02805-6,CAN
