id,Longitude,Latitude,Hydraulic_transmissivity_m2/d
K1,680539.4990366088, 5141603.8647342995,4.05
K2,683285.1637764933, 5143270.531400966,2.18
K3,687957.6107899807, 5147400.966183575,11.1
K4,686054.9132947978, 5142328.50241546,8.84
K5,689450.8670520232, 5138584.541062802,3.52
K6,686127.1676300578, 5135734.299516909,4.79
K7,682875.7225433526, 5136869.565217392,12.7
K8,686199.4219653179, 5140154.589371981,12.7
