,site_id,X_m,Y_m,East_UTM_km,North_UTM_km,K_m/d,log_K_m/d,measurement_method,data_source,ISO 3166
49,Hawaii_aquifer_Maui,627156.5,2354571.3,,,195.3,5.274536837882633,nan,10.1007/s10040-007-0271-0,US
50,Hawaii_aquifer_Maui,626981.2,2354877.5,,,123.2,4.81380905109942,nan,10.1007/s10040-007-0271-0,US
51,Hawaii_aquifer_Maui,626372.9,2355272.5,,,229.8,5.437209365414655,nan,10.1007/s10040-007-0271-0,US
52,Hawaii_aquifer_Maui,623058.8,2355278.1,,,27.7,3.3214324131932926,nan,10.1007/s10040-007-0271-0,US
53,Hawaii_aquifer_Maui,621994.4,2355024.1,,,321.6,5.773308537304811,nan,10.1007/s10040-007-0271-0,US
54,Hawaii_aquifer_Maui,621994.4,2355024.1,,,400.3,5.992214265998528,nan,10.1007/s10040-007-0271-0,US
55,Hawaii_aquifer_Maui,621040.8,2355386.0,,,7.4,2.0014800002101243,nan,10.1007/s10040-007-0271-0,US
56,Hawaii_aquifer_Maui,620262.9,2355349.6,,,403.0,5.998936561946683,nan,10.1007/s10040-007-0271-0,US
57,Hawaii_aquifer_Maui,594672.7,2355612.6,,,67.5,4.212127597878484,nan,10.1007/s10040-007-0271-0,US
58,Hawaii_aquifer_Maui,594905.3,2355244.9,,,47.1,3.8522730010223722,nan,10.1007/s10040-007-0271-0,US
59,Hawaii_aquifer_Maui,637607.7,2355824.1,,,670.9,6.508620094568842,nan,10.1007/s10040-007-0271-0,US
60,Hawaii_aquifer_Maui,637550.9,2355731.4,,,157.2,5.057518879995106,nan,10.1007/s10040-007-0271-0,US
61,Hawaii_aquifer_Maui,637606.9,2355916.4,,,839.4,6.73268735089949,nan,10.1007/s10040-007-0271-0,US
62,Hawaii_aquifer_Maui,638266.6,2356290.9,,,425.3,6.052794802259588,nan,10.1007/s10040-007-0271-0,US
63,Hawaii_aquifer_Maui,632214.3,2356364.0,,,240.3,5.481888142742423,nan,10.1007/s10040-007-0271-0,US
64,Hawaii_aquifer_Maui,628932.3,2355968.9,,,87.4,4.470495282661489,nan,10.1007/s10040-007-0271-0,US
65,Hawaii_aquifer_Maui,625613.3,2356619.6,,,54.7,4.001863709427935,nan,10.1007/s10040-007-0271-0,US
66,Hawaii_aquifer_Maui,625584.1,2356680.9,,,37.4,3.6216707044204863,nan,10.1007/s10040-007-0271-0,US
67,Hawaii_aquifer_Maui,621700.4,2355821.4,,,242.2,5.489763831118992,nan,10.1007/s10040-007-0271-0,US
68,Hawaii_aquifer_Maui,621700.1,2355852.1,,,168.8,5.128714582161857,nan,10.1007/s10040-007-0271-0,US
69,Hawaii_aquifer_Maui,621671.5,2355821.2,,,169.7,5.134032172240181,nan,10.1007/s10040-007-0271-0,US
70,Hawaii_aquifer_Maui,621671.3,2355852.0,,,120.9,4.794963757620747,nan,10.1007/s10040-007-0271-0,US
71,Hawaii_aquifer_Maui,619597.3,2355744.5,,,87.3,4.469350462845557,nan,10.1007/s10040-007-0271-0,US
72,Hawaii_aquifer_Maui,617893.2,2356285.6,,,20.4,3.0155349008501706,nan,10.1007/s10040-007-0271-0,US
73,Hawaii_aquifer_Maui,618760.5,2355892.1,,,150.7,5.01529110563245,nan,10.1007/s10040-007-0271-0,US
74,Hawaii_aquifer_Maui,618234.1,2356964.5,,,69.7,4.244200317766478,nan,10.1007/s10040-007-0271-0,US
75,Hawaii_aquifer_Maui,618467.9,2356505.0,,,280.7,5.637286483367837,nan,10.1007/s10040-007-0271-0,US
76,Hawaii_aquifer_Maui,618407.9,2356842.8,,,128.0,4.852030263919617,nan,10.1007/s10040-007-0271-0,US
77,Hawaii_aquifer_Maui,618407.9,2356842.8,,,201.6,5.306285536197214,nan,10.1007/s10040-007-0271-0,US
78,Hawaii_aquifer_Maui,619220.7,2356018.4,,,110.4,4.704110133842995,nan,10.1007/s10040-007-0271-0,US
79,Hawaii_aquifer_Maui,618437.8,2356689.2,,,103.0,4.634728988229636,nan,10.1007/s10040-007-0271-0,US
80,Hawaii_aquifer_Maui,619250.8,2355834.2,,,419.5,6.0390635259072605,nan,10.1007/s10040-007-0271-0,US
81,Hawaii_aquifer_Maui,618932.1,2356077.8,,,4514.5,8.415049717747534,nan,10.1007/s10040-007-0271-0,US
82,Hawaii_aquifer_Maui,618384.6,2356073.9,,,393.7,5.975589197949692,nan,10.1007/s10040-007-0271-0,US
83,Hawaii_aquifer_Maui,618495.2,2356720.4,,,39.6,3.6788291182604347,nan,10.1007/s10040-007-0271-0,US
84,Hawaii_aquifer_Maui,617891.2,2356562.3,,,248.5,5.5154428455366835,nan,10.1007/s10040-007-0271-0,US
85,Hawaii_aquifer_Maui,617891.2,2356562.3,,,95.3,4.557029810660157,nan,10.1007/s10040-007-0271-0,US
86,Hawaii_aquifer_Maui,618440.7,2356289.5,,,22.3,3.104586678466073,nan,10.1007/s10040-007-0271-0,US
87,Hawaii_aquifer_Maui,618900.6,2356446.6,,,491.8,6.198072129782092,nan,10.1007/s10040-007-0271-0,US
88,Hawaii_aquifer_Maui,618958.7,2356385.5,,,422.4,6.045952732392052,nan,10.1007/s10040-007-0271-0,US
89,Hawaii_aquifer_Maui,594367.8,2358501.2,,,330.0,5.799092654460526,nan,10.1007/s10040-007-0271-0,US
90,Hawaii_aquifer_Maui,638544.4,2357523.2,,,76.6,4.338597076746545,nan,10.1007/s10040-007-0271-0,US
91,Hawaii_aquifer_Maui,638544.2,2357554.0,,,1136.9,7.036060539135061,nan,10.1007/s10040-007-0271-0,US
92,Hawaii_aquifer_Maui,638341.9,2357613.7,,,94.1,4.544358046591334,nan,10.1007/s10040-007-0271-0,US
93,Hawaii_aquifer_Maui,637906.9,2357948.3,,,99.9,4.604169685654508,nan,10.1007/s10040-007-0271-0,US
94,Hawaii_aquifer_Maui,596147.8,2359556.9,,,7960.6,8.982259652882156,nan,10.1007/s10040-007-0271-0,US
95,Hawaii_aquifer_Maui,595536.9,2360598.5,,,724.0,6.584791392385716,nan,10.1007/s10040-007-0271-0,US
96,Hawaii_aquifer_Maui,596318.7,2359896.0,,,1082.5,6.987028459876645,nan,10.1007/s10040-007-0271-0,US
97,Hawaii_aquifer_Maui,594879.7,2359672.4,,,2703.6,7.902339497226199,nan,10.1007/s10040-007-0271-0,US
98,Hawaii_aquifer_Maui,592718.9,2359721.4,,,632.5,6.4496802206016755,nan,10.1007/s10040-007-0271-0,US
99,Hawaii_aquifer_Maui,593060.7,2360399.8,,,1891.1,7.544913949333227,nan,10.1007/s10040-007-0271-0,US
100,Hawaii_aquifer_Maui,593089.7,2360369.2,,,1326.8,7.190525307072897,nan,10.1007/s10040-007-0271-0,US
101,Hawaii_aquifer_Maui,620314.7,2360085.2,,,15.9,2.766319109226186,nan,10.1007/s10040-007-0271-0,US
102,Hawaii_aquifer_Maui,618730.0,2360104.4,,,319.0,5.765191102784844,nan,10.1007/s10040-007-0271-0,US
103,Hawaii_aquifer_Maui,618987.3,2360383.0,,,429.7,6.063087290780949,nan,10.1007/s10040-007-0271-0,US
104,Hawaii_aquifer_Maui,617494.6,2359634.3,,,69.3,4.238444906195857,nan,10.1007/s10040-007-0271-0,US
105,Hawaii_aquifer_Maui,617584.1,2359204.4,,,70.7,4.258445572902527,nan,10.1007/s10040-007-0271-0,US
106,Hawaii_aquifer_Maui,617721.8,2360097.1,,,913.0,6.816735880594968,nan,10.1007/s10040-007-0271-0,US
107,Hawaii_aquifer_Maui,617722.0,2360066.4,,,543.1,6.2972934650407995,nan,10.1007/s10040-007-0271-0,US
108,Hawaii_aquifer_Maui,615673.4,2360513.0,,,110.1,4.701389043728634,nan,10.1007/s10040-007-0271-0,US
109,Hawaii_aquifer_Maui,615673.4,2360513.0,,,303.6,5.715711045521475,nan,10.1007/s10040-007-0271-0,US
110,Hawaii_aquifer_Maui,614745.1,2361428.9,,,86.2,4.456670177669648,nan,10.1007/s10040-007-0271-0,US
111,Hawaii_aquifer_Maui,614745.1,2361428.9,,,443.8,6.095374010498493,nan,10.1007/s10040-007-0271-0,US
112,Hawaii_aquifer_Maui,614456.0,2361580.6,,,116.4,4.757032535297338,nan,10.1007/s10040-007-0271-0,US
113,Hawaii_aquifer_Maui,614485.0,2361550.0,,,41.9,3.735285826928092,nan,10.1007/s10040-007-0271-0,US
114,Hawaii_aquifer_Maui,614485.3,2361519.3,,,634.9,6.453467506176404,nan,10.1007/s10040-007-0271-0,US
115,Hawaii_aquifer_Maui,601074.6,2364136.7,,,39.6,3.6788291182604347,nan,10.1007/s10040-007-0271-0,US
116,Hawaii_aquifer_Maui,601737.4,2364079.3,,,53.6,3.9815490680767565,nan,10.1007/s10040-007-0271-0,US
117,Hawaii_aquifer_Maui,611450.1,2363066.5,,,3.1,1.1314021114911006,nan,10.1007/s10040-007-0271-0,US
118,Hawaii_aquifer_Maui,611382.2,2364572.7,,,262.3,5.569488886872828,nan,10.1007/s10040-007-0271-0,US
119,Hawaii_aquifer_Maui,611382.2,2364572.7,,,113.1,4.728272383122075,nan,10.1007/s10040-007-0271-0,US
120,Hawaii_aquifer_Maui,612044.2,2364638.7,,,1036.9,6.943990771564232,nan,10.1007/s10040-007-0271-0,US
121,Hawaii_aquifer_Maui,612189.0,2364516.7,,,777.9,6.6565979812127285,nan,10.1007/s10040-007-0271-0,US
