,site_id,X_m,Y_m,East_UTM_km,North_UTM_km,T m2/d,measurement_method,data_source,ISO 3166
55,Dammam_aquifer,,,763.309,3236.4179999999997,4.454347296253507,nan,10.3390/w10070828,KW
56,Dammam_aquifer,,,668.655,3222.888,4.454347296253507,nan,10.3390/w10070828,KW
57,Dammam_aquifer,,,697.721,3261.009,4.454347296253507,nan,10.3390/w10070828,KW
58,Dammam_aquifer,,,719.882,3239.3709999999996,4.465908118654584,nan,10.3390/w10070828,KW
59,Dammam_aquifer,,,749.6,3198.875,4.499809670330265,nan,10.3390/w10070828,KW
60,Dammam_aquifer,,,754.05,3190.225,4.499809670330265,nan,10.3390/w10070828,KW
61,Dammam_aquifer,,,717.388,3241.8779999999997,4.5217885770490405,nan,10.3390/w10070828,KW
62,Dammam_aquifer,,,775.821,3239.44,4.553876891600541,nan,10.3390/w10070828,KW
63,Dammam_aquifer,,,750.7,3197.225,4.584967478670572,nan,10.3390/w10070828,KW
64,Dammam_aquifer,,,724.9,3249.361,4.605170185988092,nan,10.3390/w10070828,KW
65,Dammam_aquifer,,,756.2,3189.85,4.624972813284271,nan,10.3390/w10070828,KW
66,Dammam_aquifer,,,739.8480000000001,3224.3340000000003,4.6443908991413725,nan,10.3390/w10070828,KW
67,Dammam_aquifer,,,755.3,3182.4,4.6443908991413725,nan,10.3390/w10070828,KW
68,Dammam_aquifer,,,754.55,3188.225,4.672828834461906,nan,10.3390/w10070828,KW
69,Dammam_aquifer,,,706.431,3248.927,4.6913478822291435,nan,10.3390/w10070828,KW
70,Dammam_aquifer,,,756.8,3187.825,4.718498871295094,nan,10.3390/w10070828,KW
71,Dammam_aquifer,,,700.7610000000001,3266.138,4.727387818712341,nan,10.3390/w10070828,KW
72,Dammam_aquifer,,,727.345,3221.861,4.7535901911063645,nan,10.3390/w10070828,KW
73,Dammam_aquifer,,,775.7330000000001,3238.172,4.770684624465665,nan,10.3390/w10070828,KW
74,Dammam_aquifer,,,755.0,3186.35,4.770684624465665,nan,10.3390/w10070828,KW
75,Dammam_aquifer,,,698.581,3278.8590000000004,4.77912349311153,nan,10.3390/w10070828,KW
76,Dammam_aquifer,,,752.9,3193.9,4.77912349311153,nan,10.3390/w10070828,KW
77,Dammam_aquifer,,,682.7360000000001,3251.9709999999995,4.8283137373023015,nan,10.3390/w10070828,KW
78,Dammam_aquifer,,,756.045,3192.245,4.8283137373023015,nan,10.3390/w10070828,KW
79,Dammam_aquifer,,,722.372,3234.367,4.836281906951478,nan,10.3390/w10070828,KW
80,Dammam_aquifer,,,724.8710000000001,3234.363,4.875197323201151,nan,10.3390/w10070828,KW
81,Dammam_aquifer,,,753.15,3197.625,4.875197323201151,nan,10.3390/w10070828,KW
82,Dammam_aquifer,,,757.55,3190.95,4.875197323201151,nan,10.3390/w10070828,KW
83,Dammam_aquifer,,,717.3910000000001,3244.377,4.897839799950911,nan,10.3390/w10070828,KW
84,Dammam_aquifer,,,755.5,3198.05,4.897839799950911,nan,10.3390/w10070828,KW
85,Dammam_aquifer,,,755.0,3180.4,4.897839799950911,nan,10.3390/w10070828,KW
86,Dammam_aquifer,,,811.15,3163.4,4.897839799950911,nan,10.3390/w10070828,KW
87,Dammam_aquifer,,,727.357,3226.81,4.927253685157205,nan,10.3390/w10070828,KW
88,Dammam_aquifer,,,709.85,3221.895,5.003946305945459,nan,10.3390/w10070828,KW
89,Dammam_aquifer,,,757.5,3185.95,5.003946305945459,nan,10.3390/w10070828,KW
90,Dammam_aquifer,,,753.375,3201.325,5.056245805348308,nan,10.3390/w10070828,KW
91,Dammam_aquifer,,,724.8660000000001,3231.863,5.062595033026967,nan,10.3390/w10070828,KW
92,Dammam_aquifer,,,762.5139999999999,3221.43,5.075173815233827,nan,10.3390/w10070828,KW
93,Dammam_aquifer,,,727.3660000000001,3231.8590000000004,5.081404364984463,nan,10.3390/w10070828,KW
94,Dammam_aquifer,,,686.204,3249.228,5.087596335232384,nan,10.3390/w10070828,KW
95,Dammam_aquifer,,,756.25,3182.5,5.099866427824199,nan,10.3390/w10070828,KW
96,Dammam_aquifer,,,729.8560000000001,3226.804,5.099866427824199,nan,10.3390/w10070828,KW
97,Dammam_aquifer,,,727.3610000000001,3229.3590000000004,5.1298987149230735,nan,10.3390/w10070828,KW
98,Dammam_aquifer,,,694.939,3271.855,5.135798437050262,nan,10.3390/w10070828,KW
99,Dammam_aquifer,,,735.86,3229.7909999999997,5.153291594497779,nan,10.3390/w10070828,KW
100,Dammam_aquifer,,,670.4110000000001,3240.925,5.153291594497779,nan,10.3390/w10070828,KW
101,Dammam_aquifer,,,686.932,3258.1009999999997,5.153291594497779,nan,10.3390/w10070828,KW
102,Dammam_aquifer,,,716.882,3239.3790000000004,5.187385805840755,nan,10.3390/w10070828,KW
103,Dammam_aquifer,,,683.925,3249.8920000000003,5.187385805840755,nan,10.3390/w10070828,KW
104,Dammam_aquifer,,,756.6,3196.35,5.187385805840755,nan,10.3390/w10070828,KW
105,Dammam_aquifer,,,737.3489999999999,3224.3390000000004,5.19295685089021,nan,10.3390/w10070828,KW
106,Dammam_aquifer,,,719.872,3234.373,5.209486152841421,nan,10.3390/w10070828,KW
107,Dammam_aquifer,,,729.865,3231.853,5.225746673713202,nan,10.3390/w10070828,KW
108,Dammam_aquifer,,,717.3969999999999,3246.877,5.25227342804663,nan,10.3390/w10070828,KW
109,Dammam_aquifer,,,756.9,3200.15,5.267858159063328,nan,10.3390/w10070828,KW
110,Dammam_aquifer,,,769.615,3238.1740000000004,5.272999558563747,nan,10.3390/w10070828,KW
111,Dammam_aquifer,,,755.35,3194.275,5.318119993844216,nan,10.3390/w10070828,KW
112,Dammam_aquifer,,,729.86,3229.3540000000003,5.3230099791384085,nan,10.3390/w10070828,KW
113,Dammam_aquifer,,,755.8,3200.75,5.3230099791384085,nan,10.3390/w10070828,KW
114,Dammam_aquifer,,,756.0089999999999,3200.8790000000004,5.3230099791384085,nan,10.3390/w10070828,KW
115,Dammam_aquifer,,,719.9860000000001,3216.3259999999996,5.342334251964811,nan,10.3390/w10070828,KW
116,Dammam_aquifer,,,755.8,3201.825,5.4116460518550396,nan,10.3390/w10070828,KW
117,Dammam_aquifer,,,742.3480000000001,3224.327,5.4638318050256105,nan,10.3390/w10070828,KW
118,Dammam_aquifer,,,757.3,3181.3,5.476463551931511,nan,10.3390/w10070828,KW
119,Dammam_aquifer,,,760.313,3221.4240000000004,5.5053315359323625,nan,10.3390/w10070828,KW
120,Dammam_aquifer,,,754.0,3192.2,5.5053315359323625,nan,10.3390/w10070828,KW
121,Dammam_aquifer,,,717.368,3231.8790000000004,5.5134287461649825,nan,10.3390/w10070828,KW
122,Dammam_aquifer,,,724.846,3221.865,5.54907608489522,nan,10.3390/w10070828,KW
123,Dammam_aquifer,,,761.1619999999999,3239.505,5.556828061699537,nan,10.3390/w10070828,KW
124,Dammam_aquifer,,,690.03,3250.344,5.556828061699537,nan,10.3390/w10070828,KW
125,Dammam_aquifer,,,677.9060000000001,3249.441,5.556828061699537,nan,10.3390/w10070828,KW
126,Dammam_aquifer,,,764.8989999999999,3216.6,5.5909869805108565,nan,10.3390/w10070828,KW
127,Dammam_aquifer,,,717.3480000000001,3221.88,5.5909869805108565,nan,10.3390/w10070828,KW
128,Dammam_aquifer,,,752.05,3199.275,5.638354669333745,nan,10.3390/w10070828,KW
129,Dammam_aquifer,,,722.342,3219.3709999999996,5.645446897643238,nan,10.3390/w10070828,KW
130,Dammam_aquifer,,,717.372,3234.3790000000004,5.666426688112432,nan,10.3390/w10070828,KW
131,Dammam_aquifer,,,799.0,3186.0,5.66988092298052,nan,10.3390/w10070828,KW
132,Dammam_aquifer,,,773.47,3244.76,5.697093486505405,nan,10.3390/w10070828,KW
133,Dammam_aquifer,,,761.215,3172.298,5.717027701406222,nan,10.3390/w10070828,KW
134,Dammam_aquifer,,,741.9,3210.575,5.739792912179234,nan,10.3390/w10070828,KW
135,Dammam_aquifer,,,722.3810000000001,3239.367,5.746203190540153,nan,10.3390/w10070828,KW
136,Dammam_aquifer,,,754.7,3203.5,5.746203190540153,nan,10.3390/w10070828,KW
137,Dammam_aquifer,,,719.867,3231.873,5.793013608384144,nan,10.3390/w10070828,KW
138,Dammam_aquifer,,,754.275,3195.95,5.793013608384144,nan,10.3390/w10070828,KW
139,Dammam_aquifer,,,727.34,3219.361,5.8289456176102075,nan,10.3390/w10070828,KW
140,Dammam_aquifer,,,724.706,3231.388,5.846438775057725,nan,10.3390/w10070828,KW
141,Dammam_aquifer,,,724.8610000000001,3229.363,5.883322388488279,nan,10.3390/w10070828,KW
142,Dammam_aquifer,,,755.6,3184.4,5.978885764901122,nan,10.3390/w10070828,KW
143,Dammam_aquifer,,,712.5,3222.5,5.998936561946683,nan,10.3390/w10070828,KW
144,Dammam_aquifer,,,745.357,3209.325,6.045005314036012,nan,10.3390/w10070828,KW
145,Dammam_aquifer,,,717.363,3229.3790000000004,6.093569770045136,nan,10.3390/w10070828,KW
146,Dammam_aquifer,,,748.5,3200.55,6.12029741895095,nan,10.3390/w10070828,KW
147,Dammam_aquifer,,,746.35,3203.9,6.159095388491933,nan,10.3390/w10070828,KW
148,Dammam_aquifer,,,722.367,3231.869,6.198478716492308,nan,10.3390/w10070828,KW
149,Dammam_aquifer,,,750.95,3200.95,6.198478716492308,nan,10.3390/w10070828,KW
150,Dammam_aquifer,,,747.0,3225.0,6.257667587882639,nan,10.3390/w10070828,KW
151,Dammam_aquifer,,,719.8580000000001,3226.824,6.257667587882639,nan,10.3390/w10070828,KW
152,Dammam_aquifer,,,752.25,3203.025,6.39024066706535,nan,10.3390/w10070828,KW
153,Dammam_aquifer,,,758.85,3193.0,6.39024066706535,nan,10.3390/w10070828,KW
154,Dammam_aquifer,,,757.8,3183.5,6.39024066706535,nan,10.3390/w10070828,KW
155,Dammam_aquifer,,,759.5,3184.85,6.39024066706535,nan,10.3390/w10070828,KW
