,site_id,lag_m,gamma,var_type,direction,geological_unit,measurement_method,data_source,ISO 3166
43,Boom_Clay_formation,39.914425385757546,0.1485329327908556,hydraulic_conductivity,x,1/1,nan,10.1016/j.pce.2013.05.014,BEL
44,Boom_Clay_formation,45.36556965339526,0.19705828650959625,hydraulic_conductivity,x,1/1,nan,10.1016/j.pce.2013.05.014,BEL
45,Botucatu_Formation,1.0123942837633522,0.5267326732673263,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
46,Botucatu_Formation,1.9808106130810117,2.174257425742573,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
47,Botucatu_Formation,3.036503926254693,1.3504950495049501,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
48,Botucatu_Formation,4.0420270204360325,1.5524752475247516,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
49,Botucatu_Formation,5.005901575379212,1.6633663366336622,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
50,Botucatu_Formation,5.999239135736233,1.7425742574257417,saturated_hydraulic_conductivty,x,1/1,nan,10.1016/j.compgeo.2018.03.004,BRA
51,Carrizo_aquifer,627.1777003484332,0.03518796992481205,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
52,Carrizo_aquifer,3275.2613240418104,0.0893233082706767,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
53,Carrizo_aquifer,6898.954703832752,0.12360902255639099,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
54,Carrizo_aquifer,10104.529616724742,0.1242105263157895,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
55,Carrizo_aquifer,13658.536585365851,0.09353383458646616,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
56,Carrizo_aquifer,17630.662020905922,0.13203007518796994,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
57,Carrizo_aquifer,20905.923344947736,0.15127819548872182,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
58,Carrizo_aquifer,24599.303135888505,0.14796992481203008,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
59,Carrizo_aquifer,27944.250871080138,0.07789473684210528,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
60,Carrizo_aquifer,31707.31707317072,0.1037593984962406,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
61,Carrizo_aquifer,35191.637630662015,0.1218045112781955,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
62,Carrizo_aquifer,38675.95818815331,0.17112781954887218,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
63,Carrizo_aquifer,41881.5331010453,0.12150375939849625,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
64,Carrizo_aquifer,45783.97212543554,0.11398496240601505,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
65,Carrizo_aquifer,48989.54703832752,0.1218045112781955,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
66,Carrizo_aquifer,52195.12195121951,0.1374436090225564,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
67,Carrizo_aquifer,56376.306620209056,0.11458646616541356,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
68,Carrizo_aquifer,59721.254355400706,0.09834586466165417,hydraulic_transmissivity,x,1/1,nan,10.1007/s11004-005-7308-5,US
69,Dammam_aquifer,1728.317864703833,0.3140950628422381,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
70,Dammam_aquifer,3941.1507231100404,0.543042689844301,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
71,Dammam_aquifer,6236.165328235686,0.7406093955175219,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
72,Dammam_aquifer,8864.551975488399,0.7543569724959132,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
73,Dammam_aquifer,11331.433624840329,0.7949922731292485,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
74,Dammam_aquifer,13786.523980097725,0.9836083146488964,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
75,Dammam_aquifer,16085.826328530458,1.1273638418180028,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
76,Dammam_aquifer,18540.91668378785,1.3159798833376508,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
77,Dammam_aquifer,21161.79978025315,1.4238970226982408,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
78,Dammam_aquifer,23628.32411766282,1.4690165882069188,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
79,Dammam_aquifer,26245.991406647798,1.6172921114455945,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
80,Dammam_aquifer,28782.19157279784,1.7879800262624277,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
81,Dammam_aquifer,31160.102548527422,1.9451972808561195,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
82,Dammam_aquifer,33710.237880425564,1.9409988655345831,hydraulic_transmissivity,x,1/1,nan,10.3390/w10070828,KWT
