well_id,X_m,Y_m,Z_m,K_m/s,measurement_method
P1,7.3453619070282,-3.18257956448912,0,,
P1,7.3453619070282,-3.18257956448912,1,0.000391,lab_test
P1,7.3453619070282,-3.18257956448912,2,0.000929,lab_test
P2,25.6656541761734,35.1758793969849,0,,
P2,25.6656541761734,35.1758793969849,1,1E-05,lab_test
P2,25.6656541761734,35.1758793969849,2,0.00013,lab_test
A3,11.3411066474433,6.03015075376882,0,5.46E-05,slug_test
A3,11.3411066474433,6.03015075376882,1,7.72E-06,slug_test
A3,11.3411066474433,6.03015075376882,2,2.44E-07,slug_test
B2,17.6884422110553,8.20770519262979,0,4.69E-06,slug_test
B2,17.6884422110553,8.20770519262979,1,3.51E-05,slug_test
B2,17.6884422110553,8.20770519262979,2,3.2E-07,slug_test
B3,13.5070897663807,10.0502512562814,0,1.06E-05,slug_test
B3,13.5070897663807,10.0502512562814,1,3.97E-05,slug_test
B3,13.5070897663807,10.0502512562814,2,2.84E-07,slug_test
B4,9.99286124214387,12.7303182579564,0,6.43E-06,slug_test
B4,9.99286124214387,12.7303182579564,1,1.96E-05,slug_test
B4,9.99286124214387,12.7303182579564,2,2.4E-07,slug_test
C1,23.1981635195476,11.5577889447236,0,6.17E-06,slug_test
C1,23.1981635195476,11.5577889447236,1,6.53E-06,slug_test
C1,23.1981635195476,11.5577889447236,2,1.47E-07,slug_test
C2,20.0195965901933,13.4003350083752,0,7.38E-05,slug_test
C2,20.0195965901933,13.4003350083752,1,2.63E-05,slug_test
C2,20.0195965901933,13.4003350083752,2,2.81E-07,slug_test
C3,16.1725059839588,15.2428810720268,0,0.00018,slug_test
C3,16.1725059839588,15.2428810720268,1,6.04E-05,slug_test
C3,16.1725059839588,15.2428810720268,2,3.81E-07,slug_test
C4,12.1580045072157,17.2529313232831,0,2.36E-05,slug_test
C4,12.1580045072157,17.2529313232831,1,0.000175,slug_test
C4,12.1580045072157,17.2529313232831,2,4.93E-07,slug_test
C5,8.97971752914993,18.92797319933,0,1.71E-06,slug_test
C5,8.97971752914993,18.92797319933,1,7.81E-06,slug_test
C5,8.97971752914993,18.92797319933,2,4.93E-05,slug_test
D2,22.5173219859745,18.92797319933,0,1.29E-06,slug_test
D2,22.5173219859745,18.92797319933,1,1.29E-06,slug_test
D2,22.5173219859745,18.92797319933,2,8.13E-07,slug_test
D3,19.0042132668915,20.9380234505863,0,4.67E-05,slug_test
D3,19.0042132668915,20.9380234505863,1,6.27E-05,slug_test
D3,19.0042132668915,20.9380234505863,2,3.43E-07,slug_test
D4,14.9902716927255,22.6130653266332,0,0.000186,slug_test
D4,14.9902716927255,22.6130653266332,1,8.89E-05,slug_test
D4,14.9902716927255,22.6130653266332,2,1.57E-07,slug_test
E3,21.1687966293865,25.7956448911223,0,2.43E-05,slug_test
E3,21.1687966293865,25.7956448911223,1,2.01E-05,slug_test
E3,21.1687966293865,25.7956448911223,2,1.56E-06,slug_test
