well_id,X_m,Y_m,Z_m,K_m/s,measurement_method
7,102.491999587075,150.371976188018,,0.00060185185,dipole_flow_test
8,120.466604727986,146.907539313857,,0.00821759259,dipole_flow_test
9,108.244038401982,202.072881180964,,0.01851851851,dipole_flow_test
10,112.616909259833,200.90843398369,,0.03703703703,dipole_flow_test
11,108.570248787034,180.88434671897,,0.01851851851,dipole_flow_test
12,113.417982863632,180.43701180276,,0.02430555555,dipole_flow_test
13,117.551357489419,178.794948556485,,0.01504629629,dipole_flow_test
14,113.09177247858,188.29221293142,,0.01504629629,dipole_flow_test
15,79.4673273459275,182.615876948488,,0.00555555555,dipole_flow_test
19,146.249612883246,193.727676267162,,0.07407407407,dipole_flow_test
20,125.98740580159,198.607067891676,,0.03703703703,dipole_flow_test
21,121.854031175803,186.915797804618,,0.03703703703,dipole_flow_test
22,91.6898936719314,154.117201748047,,0.03125,dipole_flow_test
26,96.3724579333127,184.145074154365,,0.00324074074,dipole_flow_test
