,x,y,z,Hydraulic_conductivity_m/d
141,1363.2,2911.0,22.6,5e-05
142,1372.8,2931.5,22.6,5e-05
143,1382.4,2952.0,22.6,5e-05
144,1392.0,2972.5,22.6,5e-05
145,1401.6,2993.0,22.6,5e-05
146,1411.2,3013.5,22.6,5e-05
147,1420.8,3034.0,22.6,5e-05
148,1430.4,3054.5,22.6,5e-05
149,1440.0,3075.0,22.6,5e-05
150,1449.6,3095.5,22.6,5e-05
151,1459.2,3116.0,22.6,5e-05
152,1468.8,3136.5,22.6,5e-05
153,1478.4,3157.0,22.6,5e-05
154,1488.0,3177.5,22.6,5e-05
155,1497.6,3198.0,22.6,5e-05
156,1507.2,3218.5,22.6,5e-05
157,1516.8,3239.0,22.6,5e-05
158,1526.4,3259.5,22.6,5e-05
159,1536.0,3280.0,22.6,5e-05
160,1545.6,3300.5,22.6,5e-05
161,1555.2,3321.0,22.6,5e-05
162,1564.8,3341.5,22.6,5e-05
163,1574.4,3362.0,22.6,5e-05
164,1584.0,3382.5,22.6,5e-05
165,1593.6,3403.0,22.6,5e-05
166,1603.2,3423.5,22.6,5e-05
167,1612.8,3444.0,22.6,5e-05
168,1622.4,3464.5,22.6,5e-05
169,1632.0,3485.0,22.6,1e-05
170,1641.6,3505.5,22.6,1e-05
171,1651.2,3526.0,22.6,1e-05
172,1660.8,3546.5,22.6,1e-05
173,1670.4,3567.0,22.6,1e-05
174,1680.0,3587.5,22.6,0.001
175,1689.6,3608.0,22.6,0.001
176,1699.2,3628.5,22.6,0.001
177,1708.8,3649.0,22.6,0.001
178,1718.4,3669.5,22.6,0.001
179,1728.0,3690.0,22.6,0.001
180,1737.6,3710.5,22.6,0.001
181,1747.2,3731.0,22.6,0.001
182,1756.8,3751.5,22.6,0.001
183,1766.4,3772.0,22.6,0.001
184,1776.0,3792.5,22.6,0.001
185,1785.6,3813.0,22.6,0.001
186,1795.2,3833.5,22.6,0.001
187,1804.8,3854.0,22.6,0.001
188,1814.4,3874.5,22.6,0.001
189,1824.0,3895.0,22.6,0.001
190,1833.6,3915.5,22.6,0.001
191,1843.2,3936.0,22.6,0.001
192,1852.8,3956.5,22.6,0.001
193,1862.4,3977.0,22.6,0.001
194,1872.0,3997.5,22.6,0.001
195,1881.6,4018.0,22.6,0.001
196,1891.2,4038.5,22.6,0.001
197,1900.8,4059.0,22.6,0.001
198,1910.4,4079.5,22.6,0.001
199,1920.0,4100.0,22.6,0.001
200,1929.6,4120.5,22.6,1e-05
201,1939.2,4141.0,22.6,1e-05
202,1948.8,4161.5,22.6,1e-05
203,1958.4,4182.0,22.6,0.001
204,1968.0,4202.5,22.6,0.001
205,1977.6,4223.0,22.6,0.001
206,1987.2,4243.5,22.6,0.001
207,1996.8,4264.0,22.6,0.0025
208,2006.4,4284.5,22.6,0.0025
209,2016.0,4305.0,22.6,0.0025
210,2025.6,4325.5,22.6,0.0025
211,2035.2,4346.0,22.6,0.0025
212,2044.8,4366.5,22.6,0.0025
213,2054.4,4387.0,22.6,0.0025
214,2064.0,4407.5,22.6,0.0025
215,2073.6,4428.0,22.6,0.0025
216,2083.2,4448.5,22.6,0.0025
217,2092.8,4469.0,22.6,0.0025
218,2102.4,4489.5,22.6,0.0025
219,2112.0,4510.0,22.6,1e-05
220,2121.6,4530.5,22.6,1e-05
221,2131.2,4551.0,22.6,1e-05
222,2140.8,4571.5,22.6,1e-05
223,2150.4,4592.0,22.6,1e-05
224,2160.0,4612.5,22.6,1e-05
225,2169.6,4633.0,22.6,1e-05
226,2179.2,4653.5,22.6,1e-05
227,2188.8,4674.0,22.6,1e-05
228,2198.4,4694.5,22.6,1e-05
229,2208.0,4715.0,22.6,1e-05
230,2217.6,4735.5,22.6,1e-05
231,2227.2,4756.0,22.6,1e-05
232,2236.8,4776.5,22.6,1e-05
233,2246.4,4797.0,22.6,1e-05
234,2256.0,4817.5,22.6,1e-05
235,2265.6,4838.0,22.6,1e-05
236,2275.2,4858.5,22.6,1e-05
237,2284.8,4879.0,22.6,1e-05
238,2294.4,4899.5,22.6,1e-05
239,2304.0,4920.0,22.6,1e-05
240,2313.6,4940.5,22.6,1e-05
241,2323.2,4961.0,22.6,1e-05
242,2332.8,4981.5,22.6,1e-05
243,2342.4,5002.0,22.6,1e-05
244,2352.0,5022.5,22.6,1e-05
245,2361.6,5043.0,22.6,1e-05
246,2371.2,5063.5,22.6,1e-05
247,2380.8,5084.0,22.6,1e-05
248,2390.4,5104.5,22.6,1e-05
249,2400.0,5125.0,22.6,1e-05
250,2409.6,5145.5,22.6,1e-05
251,2419.2,5166.0,22.6,1e-05
252,2428.8,5186.5,22.6,1e-05
253,2438.4,5207.0,22.6,1e-05
254,2448.0,5227.5,22.6,1e-05
255,2457.6,5248.0,22.6,1e-05
256,2467.2,5268.5,22.6,1e-05
257,2476.8,5289.0,22.6,1e-05
258,2486.4,5309.5,22.6,1e-05
259,2496.0,5330.0,22.6,1e-05
260,2505.6,5350.5,22.6,1e-05
261,2515.2,5371.0,22.6,1e-05
262,2524.8,5391.5,22.6,1e-05
263,2534.4,5412.0,22.6,1e-05
264,2544.0,5432.5,22.6,1e-05
265,2553.6,5453.0,22.6,1e-05
266,2563.2,5473.5,22.6,1e-05
267,2572.8,5494.0,22.6,1e-05
268,2582.4,5514.5,22.6,1e-05
269,2592.0,5535.0,22.6,1e-05
270,2601.6,5555.5,22.6,1e-05
271,2611.2,5576.0,22.6,1e-05
272,2620.8,5596.5,22.6,1e-05
273,2630.4,5617.0,22.6,1e-05
274,2640.0,5637.5,22.6,1e-05
275,2649.6,5658.0,22.6,1e-05
276,2659.2,5678.5,22.6,1e-05
277,2668.8,5699.0,22.6,1e-05
278,2678.4,5719.5,22.6,1e-05
279,2688.0,5740.0,22.6,1e-05
280,2697.6,5760.5,22.6,1e-05
281,2707.2,5781.0,22.6,1e-05
282,2716.8,5801.5,22.6,1e-05
283,2726.4,5822.0,22.6,1e-05
284,2736.0,5842.5,22.6,1e-05
285,2745.6,5863.0,22.6,1e-05
286,2755.2,5883.5,22.6,1e-05
287,2764.8,5904.0,22.6,1e-05
288,2774.4,5924.5,22.6,1e-05
289,2784.0,5945.0,22.6,1e-05
290,2793.6,5965.5,22.6,1e-05
291,2803.2,5986.0,22.6,1e-05
292,2812.8,6006.5,22.6,1e-05
293,2822.4,6027.0,22.6,1e-05
294,2832.0,6047.5,22.6,1e-05
295,2841.6,6068.0,22.6,1e-05
296,2851.2,6088.5,22.6,1e-05
297,2860.8,6109.0,22.6,1e-05
298,2870.4,6129.5,22.6,1e-05
299,2880.0,6150.0,22.6,1e-05
300,2889.6,6170.5,22.6,1e-05
301,2899.2,6191.0,22.6,1e-05
302,2908.8,6211.5,22.6,1e-05
303,2918.4,6232.0,22.6,1e-05
304,2928.0,6252.5,22.6,1e-05
305,2937.6,6273.0,22.6,1e-05
306,2947.2,6293.5,22.6,1e-05
307,2956.8,6314.0,22.6,1e-05
308,2966.4,6334.5,22.6,1e-05
309,2976.0,6355.0,22.6,1e-05
310,2985.6,6375.5,22.6,1e-05
311,2995.2,6396.0,22.6,1e-05
312,3004.8,6416.5,22.6,1e-05
313,3014.4,6437.0,22.6,1e-05
314,3024.0,6457.5,22.6,1e-05
315,3033.6,6478.0,22.6,1e-05
316,3043.2,6498.5,22.6,1e-05
317,3052.8,6519.0,22.6,1e-05
318,9.6,20.5,45.2,1e-05
319,19.2,41.0,45.2,1e-05
320,28.8,61.5,45.2,1e-05
321,38.4,82.0,45.2,1e-05
322,48.0,102.5,45.2,1e-05
323,57.6,123.0,45.2,1e-05
324,67.2,143.5,45.2,1e-05
325,76.8,164.0,45.2,1e-05
326,86.4,184.5,45.2,1e-05
327,96.0,205.0,45.2,1e-05
328,105.6,225.5,45.2,1e-05
329,115.2,246.0,45.2,1e-05
330,124.8,266.5,45.2,1e-05
331,134.4,287.0,45.2,1e-05
332,144.0,307.5,45.2,1e-05
333,153.6,328.0,45.2,1e-05
334,163.2,348.5,45.2,1e-05
335,172.8,369.0,45.2,1e-05
336,182.4,389.5,45.2,1e-05
337,192.0,410.0,45.2,1e-05
338,201.6,430.5,45.2,1e-05
339,211.2,451.0,45.2,1e-05
340,220.8,471.5,45.2,1e-05
341,230.4,492.0,45.2,1e-05
342,240.0,512.5,45.2,1e-05
343,249.6,533.0,45.2,0.0025
344,259.2,553.5,45.2,0.0025
345,268.8,574.0,45.2,0.0025
346,278.4,594.5,45.2,0.0025
347,288.0,615.0,45.2,0.0025
348,297.6,635.5,45.2,0.0025
349,307.2,656.0,45.2,0.0025
350,316.8,676.5,45.2,0.001
351,326.4,697.0,45.2,0.001
352,336.0,717.5,45.2,0.001
353,345.6,738.0,45.2,0.001
354,355.2,758.5,45.2,0.001
355,364.8,779.0,45.2,0.001
356,374.4,799.5,45.2,0.001
357,384.0,820.0,45.2,0.001
358,393.6,840.5,45.2,0.001
359,403.2,861.0,45.2,0.001
360,412.8,881.5,45.2,1e-05
361,422.4,902.0,45.2,1e-05
362,432.0,922.5,45.2,1e-05
363,441.6,943.0,45.2,1e-05
364,451.2,963.5,45.2,1e-05
365,460.8,984.0,45.2,1e-05
366,470.4,1004.5,45.2,0.001
367,480.0,1025.0,45.2,0.001
368,489.6,1045.5,45.2,0.001
369,499.2,1066.0,45.2,0.001
370,508.8,1086.5,45.2,0.001
371,518.4,1107.0,45.2,0.001
372,528.0,1127.5,45.2,0.001
373,537.6,1148.0,45.2,0.001
374,547.2,1168.5,45.2,0.001
375,556.8,1189.0,45.2,0.001
376,566.4,1209.5,45.2,0.001
377,576.0,1230.0,45.2,0.001
378,585.6,1250.5,45.2,1e-05
379,595.2,1271.0,45.2,1e-05
380,604.8,1291.5,45.2,1e-05
381,614.4,1312.0,45.2,1e-05
382,624.0,1332.5,45.2,0.0001
383,633.6,1353.0,45.2,0.0001
384,643.2,1373.5,45.2,0.0001
385,652.8,1394.0,45.2,0.0001
386,662.4,1414.5,45.2,0.0001
387,672.0,1435.0,45.2,0.0001
388,681.6,1455.5,45.2,5e-06
389,691.2,1476.0,45.2,5e-06
390,700.8,1496.5,45.2,1e-05
391,710.4,1517.0,45.2,1e-05
392,720.0,1537.5,45.2,1e-05
393,729.6,1558.0,45.2,1e-05
394,739.2,1578.5,45.2,1e-05
395,748.8,1599.0,45.2,1e-05
396,758.4,1619.5,45.2,1e-05
397,768.0,1640.0,45.2,1e-05
398,777.6,1660.5,45.2,5e-06
399,787.2,1681.0,45.2,5e-06
400,796.8,1701.5,45.2,5e-06
401,806.4,1722.0,45.2,5e-05
402,816.0,1742.5,45.2,5e-05
403,825.6,1763.0,45.2,5e-05
404,835.2,1783.5,45.2,5e-05
405,844.8,1804.0,45.2,5e-05
406,854.4,1824.5,45.2,1e-05
407,864.0,1845.0,45.2,1e-05
408,873.6,1865.5,45.2,1e-05
409,883.2,1886.0,45.2,0.001
410,892.8,1906.5,45.2,0.001
411,902.4,1927.0,45.2,0.001
412,912.0,1947.5,45.2,0.001
413,921.6,1968.0,45.2,0.001
414,931.2,1988.5,45.2,0.001
415,940.8,2009.0,45.2,0.001
416,950.4,2029.5,45.2,5e-05
417,960.0,2050.0,45.2,5e-05
418,969.6,2070.5,45.2,5e-05
419,979.2,2091.0,45.2,5e-05
420,988.8,2111.5,45.2,5e-05
421,998.4,2132.0,45.2,5e-05
422,1008.0,2152.5,45.2,5e-05
423,1017.6,2173.0,45.2,5e-05
424,1027.2,2193.5,45.2,5e-05
425,1036.8,2214.0,45.2,5e-05
426,1046.4,2234.5,45.2,5e-05
427,1056.0,2255.0,45.2,5e-05
428,1065.6,2275.5,45.2,5e-05
429,1075.2,2296.0,45.2,1e-05
430,1084.8,2316.5,45.2,1e-05
431,1094.4,2337.0,45.2,0.001
432,1104.0,2357.5,45.2,0.001
433,1113.6,2378.0,45.2,0.001
434,1123.2,2398.5,45.2,0.001
435,1132.8,2419.0,45.2,0.001
436,1142.4,2439.5,45.2,0.001
437,1152.0,2460.0,45.2,0.001
438,1161.6,2480.5,45.2,0.001
439,1171.2,2501.0,45.2,0.001
440,1180.8,2521.5,45.2,0.001
441,1190.4,2542.0,45.2,0.001
442,1200.0,2562.5,45.2,0.001
443,1209.6,2583.0,45.2,0.0025
444,1219.2,2603.5,45.2,0.0025
445,1228.8,2624.0,45.2,0.0025
446,1238.4,2644.5,45.2,0.0025
447,1248.0,2665.0,45.2,0.0025
448,1257.6,2685.5,45.2,0.0025
449,1267.2,2706.0,45.2,0.0025
450,1276.8,2726.5,45.2,5e-05
451,1286.4,2747.0,45.2,5e-05
452,1296.0,2767.5,45.2,5e-05
453,1305.6,2788.0,45.2,5e-05
454,1315.2,2808.5,45.2,5e-05
455,1324.8,2829.0,45.2,5e-05
456,1334.4,2849.5,45.2,5e-05
457,1344.0,2870.0,45.2,5e-05
458,1353.6,2890.5,45.2,5e-05
459,1363.2,2911.0,45.2,5e-05
460,1372.8,2931.5,45.2,5e-05
461,1382.4,2952.0,45.2,5e-05
462,1392.0,2972.5,45.2,5e-05
463,1401.6,2993.0,45.2,5e-05
464,1411.2,3013.5,45.2,5e-05
465,1420.8,3034.0,45.2,5e-05
466,1430.4,3054.5,45.2,5e-05
467,1440.0,3075.0,45.2,1e-05
468,1449.6,3095.5,45.2,1e-05
469,1459.2,3116.0,45.2,0.0025
470,1468.8,3136.5,45.2,0.0025
471,1478.4,3157.0,45.2,0.0025
472,1488.0,3177.5,45.2,0.0025
473,1497.6,3198.0,45.2,0.0025
474,1507.2,3218.5,45.2,5e-05
475,1516.8,3239.0,45.2,5e-05
476,1526.4,3259.5,45.2,5e-05
477,1536.0,3280.0,45.2,5e-05
478,1545.6,3300.5,45.2,5e-05
479,1555.2,3321.0,45.2,5e-05
480,1564.8,3341.5,45.2,5e-05
481,1574.4,3362.0,45.2,5e-05
482,1584.0,3382.5,45.2,5e-05
483,1593.6,3403.0,45.2,5e-05
484,1603.2,3423.5,45.2,5e-05
485,1612.8,3444.0,45.2,5e-05
486,1622.4,3464.5,45.2,5e-05
487,1632.0,3485.0,45.2,5e-05
488,1641.6,3505.5,45.2,5e-05
489,1651.2,3526.0,45.2,5e-05
490,1660.8,3546.5,45.2,0.0025
491,1670.4,3567.0,45.2,1e-05
492,1680.0,3587.5,45.2,1e-05
493,1689.6,3608.0,45.2,1e-05
494,1699.2,3628.5,45.2,1e-05
495,1708.8,3649.0,45.2,1e-05
496,1718.4,3669.5,45.2,1e-05
497,1728.0,3690.0,45.2,1e-05
498,1737.6,3710.5,45.2,1e-05
499,1747.2,3731.0,45.2,1e-05
500,1756.8,3751.5,45.2,1e-05
501,1766.4,3772.0,45.2,1e-05
502,1776.0,3792.5,45.2,1e-05
503,1785.6,3813.0,45.2,1e-05
504,1795.2,3833.5,45.2,1e-05
505,1804.8,3854.0,45.2,1e-05
506,1814.4,3874.5,45.2,1e-05
507,1824.0,3895.0,45.2,1e-05
508,1833.6,3915.5,45.2,1e-05
509,1843.2,3936.0,45.2,1e-05
510,1852.8,3956.5,45.2,0.0025
511,1862.4,3977.0,45.2,0.0025
512,1872.0,3997.5,45.2,0.0025
513,1881.6,4018.0,45.2,0.0025
514,1891.2,4038.5,45.2,0.0025
515,1900.8,4059.0,45.2,0.0025
516,1910.4,4079.5,45.2,0.0025
517,1920.0,4100.0,45.2,1e-05
518,1929.6,4120.5,45.2,1e-05
519,1939.2,4141.0,45.2,0.001
520,1948.8,4161.5,45.2,0.001
521,1958.4,4182.0,45.2,0.0025
522,1968.0,4202.5,45.2,0.0025
523,1977.6,4223.0,45.2,0.0025
524,1987.2,4243.5,45.2,0.0025
525,1996.8,4264.0,45.2,0.0025
526,2006.4,4284.5,45.2,0.0025
527,2016.0,4305.0,45.2,0.0025
528,2025.6,4325.5,45.2,0.0025
529,2035.2,4346.0,45.2,0.0025
530,2044.8,4366.5,45.2,0.0025
531,2054.4,4387.0,45.2,0.0025
532,2064.0,4407.5,45.2,0.0025
533,2073.6,4428.0,45.2,0.0025
534,2083.2,4448.5,45.2,0.0025
535,2092.8,4469.0,45.2,0.0025
536,2102.4,4489.5,45.2,0.0025
537,2112.0,4510.0,45.2,0.0025
538,2121.6,4530.5,45.2,0.0025
539,2131.2,4551.0,45.2,0.0025
540,2140.8,4571.5,45.2,1e-05
541,2150.4,4592.0,45.2,1e-05
542,2160.0,4612.5,45.2,1e-05
543,2169.6,4633.0,45.2,1e-05
544,2179.2,4653.5,45.2,1e-05
545,2188.8,4674.0,45.2,1e-05
546,2198.4,4694.5,45.2,1e-05
547,2208.0,4715.0,45.2,1e-05
548,2217.6,4735.5,45.2,1e-05
549,2227.2,4756.0,45.2,1e-05
550,2236.8,4776.5,45.2,1e-05
551,2246.4,4797.0,45.2,1e-05
552,2256.0,4817.5,45.2,1e-05
553,2265.6,4838.0,45.2,1e-05
554,2275.2,4858.5,45.2,1e-05
555,2284.8,4879.0,45.2,1e-05
556,2294.4,4899.5,45.2,1e-05
557,2304.0,4920.0,45.2,1e-05
558,2313.6,4940.5,45.2,1e-05
559,2323.2,4961.0,45.2,1e-05
560,2332.8,4981.5,45.2,1e-05
561,2342.4,5002.0,45.2,1e-05
562,2352.0,5022.5,45.2,1e-05
563,2361.6,5043.0,45.2,1e-05
564,2371.2,5063.5,45.2,1e-05
565,2380.8,5084.0,45.2,1e-05
566,2390.4,5104.5,45.2,1e-05
567,2400.0,5125.0,45.2,1e-05
568,2409.6,5145.5,45.2,1e-05
569,2419.2,5166.0,45.2,1e-05
570,2428.8,5186.5,45.2,1e-05
571,2438.4,5207.0,45.2,1e-05
572,2448.0,5227.5,45.2,1e-05
573,2457.6,5248.0,45.2,1e-05
574,2467.2,5268.5,45.2,1e-05
575,2476.8,5289.0,45.2,1e-05
576,2486.4,5309.5,45.2,1e-05
577,2496.0,5330.0,45.2,1e-05
578,2505.6,5350.5,45.2,1e-05
579,2515.2,5371.0,45.2,1e-05
580,2524.8,5391.5,45.2,1e-05
581,2534.4,5412.0,45.2,1e-05
582,2544.0,5432.5,45.2,1e-05
583,2553.6,5453.0,45.2,1e-05
584,2563.2,5473.5,45.2,1e-05
585,2572.8,5494.0,45.2,1e-05
586,2582.4,5514.5,45.2,1e-05
587,2592.0,5535.0,45.2,1e-05
588,2601.6,5555.5,45.2,1e-05
