,X_m,Y_m,Z_m,Hydraulic_conductivity_m/s
683,18,0,1.75,9.70626127E-05
684,19,0,0,0.000145881086
685,19,0,0.05,0.000147704599
686,19,0,0.1,0.000145731617
687,19,0,0.15,0.000176099311
688,19,0,0.2,0.000118895343
689,19,0,0.25,0.000122035139
690,19,0,0.3,8.20581106E-05
691,19,0,0.35,6.51071399E-05
692,19,0,0.4,7.05741516E-05
693,19,0,0.45,7.24588605E-05
694,19,0,0.5,0.000147313846
695,19,0,0.55,0.00015934936
696,19,0,0.6,0.000168862353
697,19,0,0.65,0.000118895343
698,19,0,0.7,0.000119264583
699,19,0,0.75,5.48561111E-05
700,19,0,0.8,6.44348927E-05
701,19,0,0.85,6.65123299E-05
702,19,0,0.9,7.51643403E-05
703,19,0,0.95,0.000112290046
704,19,0,1,3.72846563E-05
705,19,0,1.05,3.67968711E-05
706,19,0,1.1,9.30851172E-05
707,19,0,1.15,3.52198623E-05
708,19,0,1.2,2.30811934E-05
709,19,0,1.25,5.53132453E-05
710,19,0,1.3,8.57214196E-05
711,19,0,1.35,7.16905541E-05
712,19,0,1.4,0.000104171423
713,19,0,1.45,9.41254798E-05
714,19,0,1.5,6.33716106E-05
715,19,0,1.55,9.20939951E-05
716,19,0,1.6,9.13107537E-05
717,19,0,1.65,8.14556282E-05
718,19,0,1.7,8.78791668E-05
719,19,0,1.75,8.47752668E-05
0,9,-6,0,7.32885421E-05
1,9,-6,0.05,9.64904418E-05
2,9,-6,0.1,0.000118528382
3,9,-6,0.15,0.000145466651
4,9,-6,0.2,0.000111313611
5,9,-6,0.25,0.000156178575
6,9,-6,0.3,0.000197954618
7,9,-6,0.35,0.000188677833
8,9,-6,0.4,0.000148418148
9,9,-6,0.45,0.000137645863
10,9,-6,0.5,7.83967257E-05
11,9,-6,0.55,0.000105214235
12,9,-6,0.6,0.000116727039
13,9,-6,0.65,0.00011196267
14,9,-6,0.7,0.000113283763
15,9,-6,0.75,0.000111637197
16,9,-6,0.8,0.000115565172
17,9,-6,0.85,0.000131137785
18,9,-6,0.9,8.60019887E-05
19,9,-6,0.95,0.000113787247
20,9,-6,1,0.00013288303
21,9,-6,1.05,9.43389168E-05
22,9,-6,1.1,3.05879697E-05
23,9,-6,1.15,8.78791668E-05
24,9,-6,1.2,5.29053726E-05
25,9,-6,1.25,7.80552765E-05
26,9,-6,1.3,4.9974129E-05
27,9,-6,1.35,7.53174245E-05
28,9,-6,1.4,0.000131604467
29,9,-6,1.45,0.000137988265
30,9,-6,1.5,8.93097579E-05
31,9,-6,1.55,6.17414727E-05
32,9,-6,1.6,3.17159995E-05
33,9,-6,1.65,2.50216477E-05
34,9,-6,1.7,7.71148515E-05
35,9,-6,1.75,8.18831469E-05
36,9,-5,0,0.000286591015
37,9,-5,0.05,0.000304787269
38,9,-5,0.1,0.000274658872
39,9,-5,0.15,0.000218199977
40,9,-5,0.2,0.000207757614
41,9,-5,0.25,0.000204272318
42,9,-5,0.3,0.000190114831
43,9,-5,0.35,0.000201139073
44,9,-5,0.4,0.000146936011
45,9,-5,0.45,0.000109410815
46,9,-5,0.5,0.000140078997
47,9,-5,0.55,0.000134748056
48,9,-5,0.6,6.53115579E-05
49,9,-5,0.65,6.40053267E-05
50,9,-5,0.7,4.48252793E-05
51,9,-5,0.75,8.99372271E-05
52,9,-5,0.8,0.000102408522
53,9,-5,0.85,0.000119264583
54,9,-5,0.9,7.82142486E-05
55,9,-5,0.95,2.00719729E-05
56,9,-5,1,5.27516429E-05
57,9,-5,1.05,2.44606344E-05
58,9,-5,1.1,1.63296357E-05
59,9,-5,1.15,3.4411466E-05
60,9,-5,1.2,8.62024598E-05
61,9,-5,1.25,0.000123881277
62,9,-5,1.3,7.86950739E-05
63,9,-5,1.35,6.52006724E-05
64,9,-5,1.4,6.16347591E-05
65,9,-5,1.45,4.91766695E-05
66,9,-5,1.5,5.97250327E-05
67,9,-5,1.55,8.40332514E-05
68,9,-5,1.6,8.40201195E-05
69,9,-5,1.65,9.60079901E-05
70,9,-5,1.7,7.16683245E-05
71,9,-5,1.75,5.65456505E-05
72,9,-4,0,0.000176161449
73,9,-4,0.05,0.000217534443
74,9,-4,0.1,0.000225901153
75,9,-4,0.15,0.000200016645
76,9,-4,0.2,0.000212970783
77,9,-4,0.25,0.000229959257
78,9,-4,0.3,0.000157365342
79,9,-4,0.35,0.000169925646
80,9,-4,0.4,0.000178619515
81,9,-4,0.45,0.00011637332
82,9,-4,0.5,0.000100008322
83,9,-4,0.55,0.000107502486
84,9,-4,0.6,0.00011816368
85,9,-4,0.65,0.000109410815
86,9,-4,0.7,0.000128469472
87,9,-4,0.75,0.000124685701
88,9,-4,0.8,0.000146749426
89,9,-4,0.85,0.000119679143
90,9,-4,0.9,6.27503203E-05
91,9,-4,0.95,6.8946492E-05
92,9,-4,1,9.45891524E-05
93,9,-4,1.05,3.1339708E-05
94,9,-4,1.1,4.61107923E-05
95,9,-4,1.15,2.9608371E-05
96,9,-4,1.2,8.22841661E-05
97,9,-4,1.25,5.63732552E-05
98,9,-4,1.3,4.26702178E-05
99,9,-4,1.35,6.73740281E-05
100,9,-4,1.4,4.26046722E-05
101,9,-4,1.45,5.367323E-05
102,9,-4,1.5,6.15435834E-05
103,9,-4,1.55,8.10983667E-05
104,9,-4,1.6,0.000125091843
105,9,-4,1.65,0.000164116222
106,9,-4,1.7,0.000154963177
107,9,-4,1.75,0.000157390147
108,9,-3,0,0.000150600768
109,9,-3,0.05,0.00013334443
110,9,-3,0.1,0.000184904277
111,9,-3,0.15,0.000218199977
112,9,-3,0.2,0.000171442839
113,9,-3,0.25,0.00017240492
114,9,-3,0.3,0.00019898029
115,9,-3,0.35,0.000183073541
116,9,-3,0.4,0.000108025867
117,9,-3,0.45,0.000108483604
118,9,-3,0.5,0.000107346459
119,9,-3,0.55,0.000102408522
120,9,-3,0.6,0.000105358561
121,9,-3,0.65,0.00011395607
122,9,-3,0.7,0.000106675544
123,9,-3,0.75,0.000103792421
124,9,-3,0.8,0.000136181545
125,9,-3,0.85,0.000109088069
126,9,-3,0.9,0.00015300078
127,9,-3,0.95,0.000181147151
128,9,-3,1,0.0001271629
129,9,-3,1.05,0.000121914907
130,9,-3,1.1,7.91881273E-05
131,9,-3,1.15,4.50741737E-05
132,9,-3,1.2,4.32955987E-05
133,9,-3,1.25,1.14116747E-05
134,9,-3,1.3,7.12489722E-05
135,9,-3,1.35,4.07278143E-05
136,9,-3,1.4,6.47608702E-05
137,9,-3,1.45,3.51677619E-05
138,9,-3,1.5,4.5051512E-05
139,9,-3,1.55,7.44247985E-05
140,9,-3,1.6,0.000114636405
141,9,-3,1.65,0.000107571977
142,9,-3,1.7,9.84697332E-05
143,9,-3,1.75,9.18736743E-05
144,9,-2,0,0.000171442839
145,9,-2,0.05,0.000211006571
146,9,-2,0.1,0.000241529534
147,9,-2,0.15,0.000263035589
148,9,-2,0.2,0.000292834828
149,9,-2,0.25,0.000280315299
150,9,-2,0.3,0.000293498852
151,9,-2,0.35,0.000309703193
152,9,-2,0.4,0.000211006571
153,9,-2,0.45,0.000130214279
154,9,-2,0.5,9.88792924E-05
155,9,-2,0.55,0.000101865241
156,9,-2,0.6,0.00011395607
157,9,-2,0.65,0.000108178016
158,9,-2,0.7,0.000105918979
159,9,-2,0.75,0.000108178016
160,9,-2,0.8,0.000118528382
161,9,-2,0.85,0.000123482944
162,9,-2,0.9,0.00011395607
163,9,-2,0.95,0.000119636124
164,9,-2,1,0.00011395607
165,9,-2,1.05,9.33859984E-05
166,9,-2,1.1,5.97250327E-05
167,9,-2,1.15,2.96549776E-05
168,9,-2,1.2,2.31336506E-05
169,9,-2,1.25,5.70626984E-05
170,9,-2,1.3,4.1970706E-05
171,9,-2,1.35,7.69603127E-05
172,9,-2,1.4,7.60459328E-05
173,9,-2,1.45,3.50576907E-05
174,9,-2,1.5,4.47589697E-05
175,9,-2,1.55,5.56568058E-05
176,9,-2,1.6,7.39945974E-05
177,9,-2,1.65,0.000162725406
178,9,-2,1.7,0.000185522685
179,9,-2,1.75,0.000164116222
180,9,-1,0,0.000212172353
181,9,-1,0.05,0.000191060676
182,9,-1,0.1,0.000197954618
183,9,-1,0.15,0.000206468795
184,9,-1,0.2,0.00018697435
185,9,-1,0.25,0.000268553817
186,9,-1,0.3,0.000206596957
187,9,-1,0.35,0.000211006571
188,9,-1,0.4,0.000184630749
189,9,-1,0.45,8.44311761E-05
190,9,-1,0.5,4.65070494E-05
191,9,-1,0.55,8.7478806E-05
192,9,-1,0.6,9.48227057E-05
193,9,-1,0.65,0.000105793928
194,9,-1,0.7,0.000101080041
195,9,-1,0.75,0.000118528382
196,9,-1,0.8,0.000123087166
197,9,-1,0.85,0.000132424813
198,9,-1,0.9,0.000114636405
199,9,-1,0.95,0.000112290046
200,9,-1,1,0.000115324912
201,9,-1,1.05,2.78051544E-05
202,9,-1,1.1,1.64174295E-05
203,9,-1,1.15,0.00011816368
204,9,-1,1.2,1.59459106E-05
