,site_id,var,len_scale,nugget,nu,r2,max_scale,min_scale,var_type,direction,geological_unit,measurement_method,medium,data_source,ISO 3166
0,Aa_river,1.0680434706876007,2.698146377648419,0.552028480292218,nan,0.7717120945215366,10.00935453695042,1.0102899906454628,hydraulic_conductivty,x,1/1,,,10.1016/j.jhydrol.2018.03.002,BEL
1,Aa_river,1.3376508930934983,3.105995791598846,1.95828394009919,nan,0.21959267593273968,10.98876404494382,0.9999999999999988,hydraulic_conductivty,z,1/1,,,10.1016/j.jhydrol.2018.03.002,BEL
2,Aa_river_weir_2,2.5036166915441984,5.3647869507410215,3.4319471714989707,nan,0.42437157112301416,14.045596371168626,2.035449277642308,hydraulic_conductivty,x,1/1,,,10.1007/s10040-018-1862-7,BEL
3,Alamitos_saltwater_intrusion_barrier,0.19932308008456542,395.0324492833843,0.07742333355907763,nan,0.7354959415567056,1947.5033604735063,42.21560505004993,hydraulic_conductivty,x,1/2,,,10.1111/j.1752-1688.2007.00098.x,USA
4,Alamitos_saltwater_intrusion_barrier,0.21709174784938481,112.09761293795947,0.08626668744405264,nan,0.7302099416465975,1445.4490701512495,32.532158683951934,hydraulic_conductivty,x,2/2,,,10.1111/j.1752-1688.2007.00098.x,USA
5,Alberta_basin,1.549368366137124,8.991088588028793,0.6150888135651045,nan,0.9100602461269397,32.30988693360016,0.40695930991865,hydraulic_conductivty,x,1/1,,,10.1029/93WR02980,CAN
6,Almonte-Marismas_groundwater_system,0.12207533031213852,152.46069016654997,0.045700638865687856,nan,0.3773613320664597,3227.3187201493124,88.37114201980671,permeability,x,1/1,,,10.3390/w11010039,ESP
7,Almonte-Marismas_groundwater_system,0.06634873336275982,22.18995317462517,0.02243544724880366,nan,0.9792917122934229,148.81123331349443,10.234967100978809,permeability,z,1/1,,,10.3390/w11010039,ESP
8,Aspo_site,0.9733074779509201,52.32820416836025,1.8673612288822072,nan,0.8694335573013405,188.3824843610366,2.6809651474530725,hydraulic_conductivty,x,1/1,,,10.1111/j.1745-6584.2005.tb02284.x,SWE
9,Baishuihe_landslide,236.7963184803407,1299.015825107846,1.5076629583155445,nan,0.10087245266651779,38.07630795441733,1.872079573403708,hydraulic_conductivty,x,1/1,,,10.1155/2018/7290640,CHN
10,Barry_Steam_Plant_site,0.1272548669348896,1.1009455490468512,4.16494203758426e-11,nan,0.45539356015620924,21.765423020357616,-0.0512810589054897,hydraulic_conductivty,x,1/2,,,10.1111/j.1745-6584.1995.tb00279.x,USA
11,Barry_Steam_Plant_site,0.14591714549827403,2.338203479914444,0.0012038524724477747,nan,0.44600487005793843,21.734417344173444,0.0,hydraulic_conductivty,x,2/2,,,10.1111/j.1745-6584.1995.tb00279.x,USA
12,Beijing_synchrotron_microtomography,0.09616463980679804,5.259126657794666e-06,0.01819506063115014,nan,0.9890963437620781,7.92712550607e-05,8.097165991902807e-07,indicator,x,1/1,,,,CHN
13,Beijing_synchrotron_microtomography,0.09576936033899097,5.372823743749512e-06,0.018045517337368183,nan,0.8863216751154652,7.90163688723e-05,9.50229635259988e-07,indicator,y,1/1,,,,CHN
14,Belridge_field,0.22937802816227512,1475.0192796215417,0.41088662143130766,nan,0.7733206673074933,11981.59151386759,486.263579291508,permeability,x,1/1,,,,USA
15,Belridge_field,0.7922747752242928,11.952751155390443,0.28469282507657434,nan,0.810056496423949,12.515046518780508,0.0659288377993925,permeability,z,1/1,,,,USA
16,Belgian_nuclear_repository,0.10449056531699809,28.870906252751933,0.08997656040948039,nan,0.5225995473045079,75.27527728196213,1.0546159688195118,hydraulic_conductivity,x,1/1,,,10.1007/s10040-006-0035-2,BEL
17,Berea_sandstone,43.52768612684959,7.541106770420282,10.668708791376103,nan,0.9826168749724169,15.826822573239944,3.6368822592777112,permeability,x,1/1,,,10.1007/BF02768903,USA
18,Biscayne_aquifer,1.6487648520068208,17.366002728445316,1.2587822335121337,nan,0.9047421253476303,30.000000000000007,0.9306569343065688,hydraulic_conductivity,x,1/1,,,10.1111/j.1745-6584.1995.tb00279.x,USA
19,Biscayne_aquifer,1.2312422192445474,1.932037859524196,1.7226787863415076,nan,0.5039640822797342,4.638638039989633,0.2400972828578833,hydraulic_conductivity,z,1/1,,,10.1111/j.1745-6584.1995.tb00279.x,USA
20,Boise_site,0.0021064701256944623,9.096835203006421,0.001551742089615307,nan,0.534075024726854,50.493827160493815,2.962962962962964,hydraulic_conductivity,x,1/1,,,10.1029/2002WR001436,USA
21,Boise_site,0.0032129820549035215,1.881739525955025,0.0012716952174588333,nan,0.7174323847876523,12.87140340575455,0.2352625801016108,hydraulic_conductivity,z,1/1,,,10.1029/2002WR001436,USA
22,Boom_Clay_formation,0.10033835855389947,25.01996890085897,0.0757624948348427,nan,0.664061778577975,45.36556965339526,1.5493001415908445,hydraulic_conductivity,x,1/1,,,10.1016/j.pce.2013.05.014,BEL
23,Boom_clay_formation_Mol_site,0.25285159280609293,9.611790387431105,0.11082771467537922,nan,0.7660149401178244,41.19892101630202,1.7322520887999635,hydraulic_conductivity,x,1/1,,,10.1016/j.clay.2013.02.018,BEL
24,Borden_aquifer,0.3805693481089234,7.205996013091439,0.34307310870351715,nan,0.9238527521586317,8.977677784336121,1.013775076081041,hydraulic_conductivity,x,1/1,,,10.1016/0022-1694(95)02805-6,CAN
25,Borden_aquifer,0.3990169550254014,0.20815085408101713,0.24122724990508218,nan,0.9544719058862058,1.2499989832810738,0.052560301599502,hydraulic_conductivity,z,1/1,,,10.1016/0022-1694(95)02805-6,CAN
